"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?","URI"
"53","Liane Saunders","SCS2","Director Foreign Policy and Afghanistan/Pakistan Co-ordinator","Responsible for: co-ordinating the provision of foreign policy advice to the Prime Minister, Deputy Prime Minister and the National Security Adviser; and securing delivery of the Government's strategy towards Afghanistan and Pakistan and other high-priority foreign policy strategies.","Cabinet Office","Cabinet Office","Foreign & Defence Policy","0207 276 1234","N/D","42","","1","80000","84999","","Other","","","http://reference.data.gov.uk/id/department/co/post/53"
"162","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","185","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/162"
"69","N/D","SCS1","Deputy Director, Home Affairs, Devolution, Political and Constitutional Reform","Lead the Home Affairs, Devolution, Political and Constitutional Reform team in supporting effective Cabinet Government and ensuring the Prime Minister, Deputy Prime Minister, Minister for Government Policy and Cabinet Committee Chairs have access to high quality advice and briefing","Cabinet Office","Cabinet Office","Economic & Domestic Affairs","020 7276 0055","webmaster@cabinet-office.gov.uk","54","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/69"
"141","N/D","SCS1","Deputy Director, Business Management (Commons)","Heads the office which supports the Government's Parliamentary Business Manangers (Leader of the House and Chief Whip) in the Commons","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","8","","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/co/post/141"
"194","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","186","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/194"
"253","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","182","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/253"
"37","Janette Durbin","SCS2","Director, Human Resources","Human Resource Management","Cabinet Office","Cabinet Office","Human Resources","020 7276 6267","janette.durbin@cabinet-office.x.gsi.gov.uk","309","","1","85000","89999","","Human Resources","","","http://reference.data.gov.uk/id/department/co/post/37"
"118","N/D","SCS1","Deputy Director, Elections and Democracy","To support the DPM and Minister for Political and Constitutional Reform on their responsibility for law and policy on elections, referendums and political party funding, and related areas of reform as set out in the Coalition 'Programme for Government'","Cabinet Office","Cabinet Office","Constitution Group","2072716440","webmaster@cabinet-office.gov.uk","59","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/118"
"177","Mark Hudson","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2580","mark.hudson@cabinet-office.x.gsi.gov.uk","183","","1","135000","139999","","Law","","","http://reference.data.gov.uk/id/department/co/post/177"
"200","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","182","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/200"
"285","N/D","SCS1","Deputy Director, ID Proposition","Responsible for work on accrediting and approving third party identity to facilitate digital transactions between citizens and government","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/285"
"124","N/D","SCS1","Deputy Director, Senior Policy Adviser","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","47","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/124"
"156","N/D","SCS1","Assistant Parliamentary Counsel","Assistant Parliamentary Counsel provide assistance to more senior counsel by working in the drafting teams which draft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","187","","0.6","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/156"
"315","N/D","SCS1","Deputy Director, London Property Consolidation","Deputy Director - Head of London consolidation strategy","Cabinet Office","Cabinet Office","Government Property Unit","020 7270 5111","webmaster@cabinet-office.gov.uk","293","","1","0","0","","Property and asset management","","","http://reference.data.gov.uk/id/department/co/post/315"
"172","Helen Moore","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2582","helene.moore@cabinet-office.x.gsi.gov.uk","185","","1","125000","129999","","Law","","","http://reference.data.gov.uk/id/department/co/post/172"
"103","N/D","SCS1","Deputy Director, Procurement Policy","Leading a team responsible for UK implementation of the EU Public Procurement Directives and for representing the UK on public procurement at the World Trade Organisation, which promotes open markets beyond Europe. Leading work to promote small business opportunities in Government procurement, by streamlining procurement processes and making tender opportunities visible to small business. The team provides advice and publishes guidance to helpdepartments to procure and commission effectively and to pursue policy objectives such as voluntary-sector deployment, through procurement.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Procurement","","","http://reference.data.gov.uk/id/department/co/post/103"
"54","Jeremy Pocklington","SCS2","Director and Deputy Head of Economic and Domestic Affairs Secretariat","Lead the Secretariat in supporting effective Cabinet Government and ensuring the Prime Minister, Deputy Prime Minister, Minister for Government Policy and the Cabinet Secretary have access to high quality advice and briefing; and support the development, co-ordination and implementation of economic and domestic policy objectives","Cabinet Office","Cabinet Office","Economic & Domestic Affairs","020 7276 0083","Ursula.McCullagh@cabinet-office.gsi.gov.uk","10","","1","80000","84999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/54"
"79","N/D","SCS1","Deputy Director, NSC/Afghan Communication","Prime Minister's Office","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","56","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/79"
"151","N/D","SCS1","Deputy Director, Private Secretary (Speech Writer) to the Prime Minister","Speechwriter, Private Office","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","35","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/151"
"331","N/D","SCS1","Deputy Director, National Citizen Service","National Citizen Service","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/331"
"COI17","Vacant","SCS1","Group Director","Lead the Health Theme","Cabinet Office","Cabinet Office","Central Office of Information","N/A","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI17"
"289","N/D","SCS1","Deputy Director, Senior Policy Adviser","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","47","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/289"
"310","N/D","SCS1","Deputy Director, Business Management (Lords)","Heads the office which supports the Government's Parliamentary Business Manangers (Leader of the House and Chief Whip) in the Lords","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","8","","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/co/post/310"
"COI3","Graham Hooper","SCS2","Client Service and Strategy Director","Marketing & Communications","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI1","","1","85000","89999","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI3"
"COI11","N/D","SCS1","Communications Planning Director","Lead the Communications planning for campaigns in COI","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI11"
"COI14","N/D","SCS1","Group Director","Lead the Environment and Transport Theme","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI14"
"309","Ian Watmore","SCS4","Permanent Secretary, Cabinet Office","Permanent Secretary for the Cabinet Office","Cabinet Office","Cabinet Office","Core ERG","N/D","COO@cabinet-office.gsi.gov.uk","XX","","1","140000","144999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/309"
"139","N/D","SCS1","Deputy Director, Digital Communication","Cabinet Office Communications","Cabinet Office","Cabinet Office","Cabinet Office Communications","0207 276 1234","webmaster@cabinet-office.gov.uk","38","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/139"
"274","John Collington","SCS3","Chief Procurement Officer for Government","Governments Chief Procurement Officer (CPO) is responsible for reforming Government Procurement and has set out a strategy to deliver this through the centralisation of common goods & services spend, funding of improvements in capability (technology, processes & procurement resources) and better manage total procurement spend in support of Governments deficit reduction & growth priorities. The CPO will also act as the Senior Responsible Owner (SRO) for the Next Generation Shared Services Programme. The aim of the programme is to deliver consolidated back office shared services functions across central Government for finance, HR, payroll and procurement up to the end of 2014.","Cabinet Office","Cabinet Office","Core ERG","020 7271 2614","flexibleresourcing@cabinet-office.gsi.gov.uk","309","","1","180000","184999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/274"
"290","N/D","SCS1","Deputy Director, Senior Policy Adviser","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","47","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/290"
"145","N/D","SCS1","Deputy Director, Human Resources","Human Resource Management","Cabinet Office","Cabinet Office","Human Resources","020 7276 6267","webmaster@cabinet-office.gov.uk","37","","0.83","0","0","","Human Resources","","","http://reference.data.gov.uk/id/department/co/post/145"
"198","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","186","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/198"
"221","Gareth Davies","SCS2","Executive Director Civil Society","Executive Directorm Civil Society","Cabinet Office","Cabinet Office","Core ERG","020 7276 1470","Gareth.Davies@cabinet-office.x.gsi.gov.uk","309","","1","95000","99999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/221"
"24","Bruce Richard Mann","SCS2","Director, Finance","Responsible for the effective operation of the Cabinet Office�s financial and audit and assurance processes and systems, including financial management and control; Spending Review negotiations; forward planning and budgeting; investment and other formal approvals.","Cabinet Office","Cabinet Office","Cabinet Office Services","020 7276 0530","bruce.mann@cabinet-office.x.gsi.gov.uk","309","","1","105000","109999","","Finance","","","http://reference.data.gov.uk/id/department/co/post/24"
"271","Timothy Kelsey","SCS2","Director, Transparency","Responsible for all aspects of Transparency policy, strategy and delivery","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","309","","1","140000","144999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/271"
"297","N/D","SCS1","Deputy Director, Continuous Improvement and Capability Reviews","The Continuous Improvement team is responsible for creating a culture of Continuous Improvement across central government where all staff take responsibility for improving the service they provide to their customers. A key focus is the elimination of waste and duplication.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/297"
"110","N/D","SCS1","Deputy Director, Scheme Management Executive","Deputy Director reporting to the Director, Civil Service Workforce Reform. Responsible for: day to day management of Civil Service pension and compensation arrangements, in particular oversight and governance of Delivery Organisation (MyCSP); provision of secretariat support function for Scheme Management Board; provision of advice to Scheme Management Board; developing and maintaining delivery of Civil Service pensions in the light of relevant legislation and the needs of the employers; provision of Internal Disputes Resolution process.","Cabinet Office","Cabinet Office","Core ERG- Scheme Management Executive","01256 846540","scheme.managementexecutive@cabinet-office.x.gsi.gov.uk","31","","1","0","0","","Operational Delivery","","","http://reference.data.gov.uk/id/department/co/post/110"
"136","N/D","SCS1","Deputy Director, ICT Strategy & Policy","- Supporting the Minister for the Cabinet Office, to make sure our staff in the Department work as effectively and efficiently as possible","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/136"
"244","N/D","SCS1","Deputy Director Strategy, Efficiency & Reform Group","The Deputy Director of strategy leads the ERG strategy team, prioritising work to ensure short-term needs are met whilst developing longer-term strategies for delivering the Governments efficiency and reform agenda.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/244"
"301","Robert William Jordan","SCS3","Director General","Leading work on the Government Communications Change Programme, construction procurement and the Best Management Practice portfolio","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","309","","1","130000","134999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/301"
"51","Paul Rankin","SCS2","Deputy Head of European & Global Issues Secretariat","EGIS is responsible for coordinating the work of Government in reaching collective agreement on International Economic (including G20/G8, international trade and development issues) and European policy and to provide advice on these matters to the Prime Minister, Deputy Prime Minister, and the Cabinet Office Minister for Government Policy","Cabinet Office","Cabinet Office","European & Global Issues","0207 2760215","paul.rankin@cabinet-office.gsi.gov.uk","5","","1","85000","89999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/51"
"77","N/D","SCS1","Head of the Honours and Appointments Secretariat and Clerk to the Privy Council","Support the PM in the administration and delivery of a fair honours system reflecting the Government's priorities; lead on honours and medals policy.","Cabinet Office","Cabinet Office","Honours and Appointments Secretariat","020 7276 2770","honours@cabinet-office.x.gsi.gov.uk","59","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/77"
"142","N/D","SCS1","Deputy Director, Propriety & Ethics Team","Day to day management of the team responsible for: - Providing advice on standards and ethics issues under the Ministerial Code, Civil Service Code and Code of Conduct for Special Advisers; - Managing the Whitehall liaison arrangements with the Public Administration Select Committee, Committee on Standards in Public Life, Advisory Committee on Business Appointments, Civil Service Commission, House of Lords Appointments Commission, Parliamentary Ombudsman and Independent Adviser on Ministers' Interests; - Providing advice on public inquiries","Cabinet Office","Cabinet Office","Private Office Group","0207 276 2471","Propriety&EthicsTeam@cabinet-office.x.gsi.gov.uk","57","","0.81","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/142"
"168","Christopher Packer","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 0987","christopher.packer@cabinet-office.x.gsi.gov.uk","187","","1","125000","129999","","Law","","","http://reference.data.gov.uk/id/department/co/post/168"
"250","N/D","SCS1","Deputy Director, Behaviour Insights Team","Leads on finding new ways of encouraging, supporting, enabling people to make better choices for themselves","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/250"
"276","N/D","SCS1","Deputy Director Innovation and Proposition","Responsible for Delivery of rapid, agile solutions to business needs - ePetitions, Mutuals Information Service, GPS portal, GCloud Cloudstore 2, QDS webapp etc Advice and support to departments on finding different, faster, better ways to meet business challenges Building capability and capacity in terms of both people, and reusable platforms and components","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/276"
"317","J Heywood","SCS4","Cabinet Secretary","Cabinet Secretary: overall responsibility for advice to the Prime Minister, Deputy Prime Minister and the Cabinet on the development and implementation of Government policy.","Cabinet Office","Cabinet Office","Government Policy","0207 276 1234","Cabinet.secretary@cabinet-office.gsi.gov.uk","XX","","1","190000","194999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/317"
"333","Andy Nelson","SCS2","Government CIO","Responsible for ICT across government.","Cabinet Office","Cabinet Office","Core ERG","N/D","general.queries@justice.gsi.gov.uk","309","","0.5","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/333"
"59","Ciaran Martin","SCS2","Director, Constitution Group","To support the DPM and Minister for Political and Constitutional Reform to deliver the Government's political reform programme, and lead the Directorate at corporate level","Cabinet Office","Cabinet Office","Constitution Group","2072760535","ciaran.martin@cabinet-office.x.gsi.gov.uk","216","","1","85000","89999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/59"
"121","N/D","SCS1","Deputy Director responsible for JHA, external and budget issues","EGIS is responsible for coordinating the work of Government in reaching collective agreement on International Economic (including G20/G8, international trade and development issues) and European policy and to provide advice on these matters to the Prime Minister, Deputy Prime Minister, and the Cabinet Office Minister for Government Policy","Cabinet Office","Cabinet Office","European & Global Issues","0207 2761261","webmaster@cabinet-office.gov.uk","51","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/121"
"255","Douglas Hall","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6791","douglas.hall@cabinet-office.x.gsi.gov.uk","187","","1","85000","89999","","Law","","","http://reference.data.gov.uk/id/department/co/post/255"
"259","N/D","SCS1","Deputy Director, Deputy Prime Ministers Research and Analysis Unit","To provide high quality analysis and advice to the DPM on his policy priorities","Cabinet Office","Cabinet Office","Deputy Prime Minister's Office","020 7276 0876","webmaster@cabinet-office.gov.uk","216","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/259"
"312","N/D","SCS1","Deputy Director Digital Engagement","Responsible for Digital engagement for GDS and Government providing guidance and support GDS Blog and Social Media Channels @Gov.uk Communications and Press","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/312"
"16","Paul Britton","SCS3","Prime Ministers Appointments Secretary","Responsible for reporting to the PM on senior chuch of england appointments.","Cabinet Office","Cabinet Office","Honours and Appointments Secretariat","020 7276 1675","paul.britton@cabinet-office.x.gsi.gov.uk","317","","0.31","145000","149999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/16"
"202","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","183","","1","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/202"
"7","Kim Darroch","SCS4","National Security Advisor to the Prime Minister","Advisor to the Prime Minister","Cabinet Office","Cabinet Office","National Security Secretariat","0207 276 1234","NSAaction@cabinet-office.x.gsi.gov.uk","317","","1","170000","174999","","Other","","","http://reference.data.gov.uk/id/department/co/post/7"
"185","E Stell","SCS3","Parliamentary Counsel / Team Leader","Team Leaders lead drafting teams whichdraft Bills for Government and form, with the First Parliamentary Counsel, part of the management team of the office.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 0957","edward.stell@cabinet-office.x.gsi.gov.uk","8","","1","160000","164999","","Law","","","http://reference.data.gov.uk/id/department/co/post/185"
"238","Paul Kirby","SCS2","Director, Policy Unit","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","N/D","webmaster@cabinet-office.gov.uk","35","","1","115000","119999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/238"
"66","N/D","SCS1","Deputy Director, Major Projects Authority","Deputy Director and cluster lead for Personal Tax and Welfare Reform","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Programme and Project Management (PPM)","","","http://reference.data.gov.uk/id/department/co/post/66"
"180","N/D","SCS3","Parliamentary Counsel","Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 6791","PCOenquiries@cabinet-office.x.gsi.gov.uk","186","","0.8","150000","154999","","Law","","","http://reference.data.gov.uk/id/department/co/post/180"
"292","N/D","SCS1","Deputy Director, Open Public Services","Lead on Implementation of Open Public Services White Paper","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/292"
"COI9","N/D","SCS1","Director of Research","Lead the team to oversee Research at COI","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI9"
"COI12","Vacant","SCS1","Director of Strategy & Planning","Lead the team who help departments plan a communication straegy","Cabinet Office","Cabinet Office","Central Office of Information","N/A","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI12"
"COI15","N/D","SCS1","Group Director","Lead the Defence and International Affairs Theme","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI15"
"35","Christopher Martin","SCS2","Principal Private Secretary to the Prime Minister","Private Office","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","317","","1","85000","89999","","Policy","","","http://reference.data.gov.uk/id/department/co/post/35"
"104","N/D","SCS1","Deputy Director, Public Service Network Programme","PSN Programme Director - Establish the policies, standards and processes which define the Public Sector Network and work with private sector suppliers and public sector consumens to ensure the delivery of the initial services Work with public sector organisations and procurement agencies to ensure the take-up of, and smooth transition to, the PSN across both central and local government and the realisation of benefits of approximately �500m per annum. Provide technical input to Information Assurance within the Office of the Government CIO and SIRO and the wider Cabinet Office.","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/104"
"173","Jacqueline Crawford","SCS2","Deputy Parliamentary Counsel","Deputy Parliamentary Counsel lead drafting teams whichdraft Bills for Government.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 0951","jacqueline.crawford@cabinet-office.x.gsi.gov.uk","8","","1","130000","134999","","Law","","","http://reference.data.gov.uk/id/department/co/post/173"
"216","Vacant","SCS3","Director General, Head of Deputy Prime Minister's Office","To support the Deputy Prime Minister in his work across Government","Cabinet Office","Cabinet Office","Deputy Prime Minister's Office","N/A","n/a","317","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/216"
"322","N/D","SCS1","Deputy Director Performance and Delivery","Responsible for Building the Performance & Delivery Team in GDS Developing and deploying a set of performance metrics for public service transactions Working closely with departments to support them in measuring and managing their digital performance","Cabinet Office","Cabinet Office","Government Digital Service","0207 276 1234","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/322"
"NSG5","N/D","SCS1","Head of Finance","To provide financial support and advice to the National School of Government.","Cabinet Office","Cabinet Office","National School of Government","01344 634 517","jeff.linsdell@nationalschool.gsi.gov.uk","NSG1","","1","0","0","","Finance","","","http://reference.data.gov.uk/id/department/co/post/NSG5"
"152","N/D","SCS1","Prime Minister's Foreign Affairs Adviser","Private Office","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","35","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/152"
"195","N/D","SCS1","Senior Assistant Parliamentary Counsel","Senior Assistant Parliamentary Counsel work in the drafting teams which draft Bills (and amendments of Bills) for Government in response to instructions, and which provide procedural and other handling advice to legislating departments in connection with those Bills. They vet draft statutory instruments that amend primary legislation, and draft statutory instruments in cases where the specialist expertise of Parliamentary Counsel is required. They provide assistance to more senior counsel.","Cabinet Office","Cabinet Office","Government in Parliament","020 7210 2588","PCOenquiries@cabinet-office.x.gsi.gov.uk","183","","0.64","0","0","","Law","","","http://reference.data.gov.uk/id/department/co/post/195"
"248","N/D","SCS1","Deputy Director, Public Sector Deregulation","Overall leadership of the Public Sector Deregulation programme and responsible for the Tell Us How campaign to reduce unnecessary burdens and bureaucracy in the public sector","Cabinet Office","Cabinet Office","Core ERG","N/D","flexibleresourcing@cabinet-office.gsi.gov.uk","260","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/248"
"COI8","N/D","SCS1","Director of Content","Lead the team that produces publications, radio and TV adverts","Cabinet Office","Cabinet Office","Central Office of Information","0207 276 1234","N/D","COI3","","1","0","0","","Communications","","","http://reference.data.gov.uk/id/department/co/post/COI8"
"227","N/D","SCS1","Deputy Director, Senior Policy Adviser","Policy Unit","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","238","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/227"
"42","Julian Miller","SCS3","Deputy National Security Adviser, Foreign and Defence Policy","Responsible for: supporting the Prime Minister, Deputy Prime Minister and National Security Adviser with advice on foreign and defence policy business; ensuring that the government's foreign and defence policy priorities are delivered in an efficient and coherent manner; leading the foreign and defence policy team, supported by one Director and three Deputy Directors; liaison with national security teams overseas; oversight of the temporary CO team managing the Libya Crisis .","Cabinet Office","Cabinet Office","National Security Secretariat","0207 276 1234","NSAaction@cabinet-office.x.gsi.gov.uk","7","","1","115000","119999","","Other","","","http://reference.data.gov.uk/id/department/co/post/42"
"243","N/D","SCS1","Deputy Director Citizen Proposition","Responsible for Delivery of citizen-facing aspects of the GOV.UK programme Attracting the best digital talent to Government","Cabinet Office","Cabinet Office","Government Digital Service","07810 804829","customerhelpdesk@digital.cabinet-office.gov.uk","281","","1","0","0","","Other","","","http://reference.data.gov.uk/id/department/co/post/243"
"332","N/D","SCS1","Deputy Director, Private Secretary to the Prime Minister","Private Office","Cabinet Office","Cabinet Office","Prime Ministers Office","0207 930 4433","webmaster@cabinet-office.gov.uk","35","","1","0","0","","Policy","","","http://reference.data.gov.uk/id/department/co/post/332"
