body_title,graph,senior_posts,junior_posts,source_files,num_source_files
Department for Work and Pensions,2011-03-31,270,2647,{u'/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls': 2913},1
Department for Work and Pensions,2011-03-31,270,2647,{u'/data/DWP/2011-03-31/government-staff-and-salary-data---March-2011---DWP-08-06-11.xls': 2913},1
Department for Work and Pensions,2011-09-30,208,2318,{u'/data/dwp/2011-09-30/government-staff-and-salary-data-SCS-and-JUNIOR-template-October-2011-v10.xls': 2527},1
Department for Work and Pensions,2012-03-31,208,2004,{u'/data/dwp/2012-03-31/310312---DWP-FINAL-version.xls': 2212},1
Department for Work and Pensions,2012-09-30,230,2352,{u'/data/dwp/2012-09-30/300912-DWP-Organogram-FINAL-version1x.xls': 2582},1
Department for Work and Pensions,2013-09-30,229,2240,{u'/data/dwp/2013-09-30/DWP-template-Sep-13_v1.xls': 2469},1
Department for Work and Pensions,2014-03-31,237,2190,{u'/data/dwp/2014-03-31/310314_DWP_fixed.xls': 2427},1
Department for Work and Pensions,2014-09-30,204,1940,{u'/data/dwp/2014-09-30/300914-DWP-organogram.xls': 2144},1
Department for Work and Pensions,2015-03-31,204,1962,{u'/data/dwp/2015-03-31/310315-DWP-Organogram.xls': 2166},1
Department for Work and Pensions,2015-09-30,225,2133,{u'/data/dwp/2015-09-30/DWP-template-Sep-15_v2_2015-11-26.xls': 2358},1
Department of Education,2011-03-31,126,631,{u'/data/education/2011-03-31/DfE_March-2011-Upload.xls': 757},1
Department of Education,2011-03-31,126,631,{u'/data/education/2011-03-31/DfE_March-2011-Upload.xls': 757},1
Department of Education,2011-09-30,128,364,{u'/data/education/2011-09-30/Cabinet_office_return_v2-3-.xls': 492},1
Department of Education,2012-03-31,190,1161,{u'/data/education/2012-03-31/010412-DfE-Organogram-ver2.xls': 1351},1
Department of Education,2012-09-30,181,1236,{u'/data/education/2012-09-30/300912DFE.xls': 1417},1
Department of Education,2014-03-31,139,683,{u'/data/education/2014-03-31/310314-DFE-Organogram.xls': 822},1
Department of Education,2014-09-30,139,695,{u'/data/education/2014-09-30/300914-DFE-organogram.xls': 834},1
Department of Education,2015-03-31,139,744,{u'/data/education/2015-03-31/150331-DfE-Organogram.xls': 883},1
Department of Education,2015-09-30,145,715,{u'/data/education/2015-09-30/transpSept2015.xls': 860},1
Department of Energy and Climate Change,2011-03-31,93,364,{u'/data/decc/2011-03-31/DECC-Final-Upload-Spring-2011.xls': 452},1
Department of Energy and Climate Change,2011-03-31,93,364,{u'/data/decc/2011-03-31/DECC-Final-Upload-Spring-2011.xls': 452},1
Department of Energy and Climate Change,2011-03-31,93,364,{u'/data/decc/2011-03-31/DECC-Final-Upload-Spring-2011.xls': 452},1
Department of Energy and Climate Change,2011-09-30,101,386,{u'/data/decc/2011-09-30/government-staff-and-salary-data---October-11-Final.xls': 487},1
Department of Energy and Climate Change,2012-03-31,103,415,{u'/data/decc/2012-03-31/310312-DECC-organogram.xls': 518},1
Department of Energy and Climate Change,2012-09-30,101,402,{u'/data/decc/2012-09-30/300912-DECC-organogram.xls': 503},1
Department of Energy and Climate Change,2013-03-31,104,419,{u'/data/decc/2013-03-31/310313-DECC-organogram.xls': 524},1
Department of Energy and Climate Change,2013-09-30,113,330,{u'/data/decc/2013-09-30/300913-DECC-organogram.xls': 443},1
Department of Health,2011-03-31,302,1242,{u'/data/dh/2011-03-31/Department-of-Health-Staff-and-Salary-Data---31-March-2011--(Final-Version).xls': 1542},1
Department of Health,2011-03-31,302,1242,{u'/data/dh/2011-03-31/Department-of-Health-Staff-and-Salary-Data---31-March-2011--(Final-Version).xls': 1542},1
Department of Health,2011-09-30,312,1122,{u'/data/dh/2011-09-30/Government-staff-and-salary-data---Working---05.12.11.xls': 1435},1
Department of Health,2012-03-31,277,1131,{u'/data/dh/2012-03-31/310312-DH---Organogram---ver-1.xls': 1408},1
Department of Health,2012-09-30,272,1100,{u'/data/dh/2012-09-30/300912-DH---Organogram---ver-2.xls': 1372},1
Department of Health,2013-03-31,156,976,{u'/data/dh/2013-03-31/010413-DH---Organogram---ver-2.xls': 1133},1
Department of Health,2013-09-30,163,970,{u'/data/dh/2013-09-30/011013-DH---Organogram.xls': 1133},1
Department of Health,2014-03-31,161,993,{u'/data/dh/2014-03-31/010414-DH---Organogramv2.1.xls': 1154},1
Department of Health,2014-09-30,164,1089,{u'/data/dh/2014-09-30/011014-DH---Organogram.xls': 1253},1
Department of Health,2015-03-31,170,1037,{u'/data/dh/2015-03-31/010415-DH---Organogram.xls': 1207},1
Department of Health,2015-09-30,172,1205,{u'/data/dh/2015-09-30/011015-DH---Organogram.xls': 1377},1
Department of Health,2016-03-31,152,916,{u'/data/dh/2016-03-31/010416-DH---Organogram.xls': 1068},1
Driver and Vehicle Licensing Agency,2011-03-31,7,57,{u'/data/dft/2011-03-31/Final-DVLA-Transparency-Return-26-May-2011.xls': 64},1
Driver and Vehicle Licensing Agency,2011-09-30,7,82,{u'/data/dft/2011-09-30/DVLA-Transparency-Final-Return.xls': 89},1
Driver and Vehicle Licensing Agency,2012-03-31,7,84,{u'/data/dft/2012-03-31/DVLA-Transparency-Final-Return-31.03.12.xls': 91},1
Driver and Vehicle Licensing Agency,2012-09-30,7,87,{u'/data/dft/2012-09-30/DVLA-Final-Return-30.09.12.xls': 94},1
Driver and Vehicle Licensing Agency,2014-03-31,6,66,{u'/data/dft/2014-03-31/310314-DVLA--Organogram--ver-1.xls': 72},1
Driver and Vehicle Licensing Agency,2015-03-31,7,75,{u'/data/dft/2015-03-31/310315-DVLA-Organogram-ver-1.xls': 82},1
Driver and Vehicle Licensing Agency,2015-09-30,9,63,{u'/data/dft/2015-09-30/300915-DVLA-Organogram-ver-1.xls': 72},1
Driver and Vehicle Licensing Agency,2016-03-31,9,68,{u'/data/dft/2016-03-31/310316-DVLA-Organogram-ver-1.xls': 77},1
Driver & Vehicle Standards Agency,2014-03-31,4,37,{u'/data/dft/2014-03-31/310314-DVSA-Organogram-ver-2.xls': 41},1
Driver & Vehicle Standards Agency,2015-03-31,6,179,{u'/data/dft/2015-03-31/310315-DVSA-Organogram-ver-1.xls': 185},1
Driver & Vehicle Standards Agency,2015-09-30,6,278,{u'/data/dft/2015-09-30/300915-DVSA-Organogram-ver-1.xls': 284},1
Driver & Vehicle Standards Agency,2016-03-31,12,826,{u'/data/dft/2016-03-31/310316-DVSA-Organogram-ver-1.xls': 838},1
Driving Standards Agency,2011-03-31,3,64,{u'/data/dft/2011-03-31/Final-DSA-Transparency-Return-26-May-2011.xls': 67},1
Driving Standards Agency,2011-09-30,3,104,{u'/data/dft/2011-09-30/DSA-Transparency-Final-Return.xls': 107},1
Driving Standards Agency,2012-03-31,3,99,{u'/data/dft/2012-03-31/DSATransparency-Final-Return-31.03.12.xls': 102},1
Driving Standards Agency,2012-09-30,3,130,{u'/data/dft/2012-09-30/DSA-Final-Return-30.09.12.xls': 133},1
Driving Standards Agency,2013-03-31,3,132,{u'/data/dft/2013-03-31/DSA-Transparency-Final-Return-31.03.13.xls': 135},1
Driving Standards Agency,2014-03-31,5,114,{u'/data/dft/2014-03-31/310314-DVSA-DSA----Organogram---ver-1.xls': 119},1
Economic and Social Research Council,2013-09-30,3,34,{u'/data/esrc/2013-09-30/300913---ESRC---Transparency-Organogram.xls': 37},1
Economic and Social Research Council,2015-09-30,2,36,{u'/data/ahrc/2015-09-30/30092015---ESRC---Transparency-Organogram.xls': 38},1
Engineering and Physical Sciences Research Council,2011-03-31,4,53,{u'/data/epsrc/2011-03-31/government-staff-and-salary-data----March-2011.xls': 57},1
Engineering and Physical Sciences Research Council,2011-09-30,4,76,{u'/data/epsrc/2011-09-30/EPSRC-Government-staff-and-salary-data-300911.xls': 80},1
Engineering and Physical Sciences Research Council,2012-03-31,4,73,{u'/data/epsrc/2012-03-31/EPSRC-Government-staff-and-salary-data---310312.xls': 77},1
Engineering and Physical Sciences Research Council,2012-09-30,4,72,{u'/data/epsrc/2012-09-30/EPSRC-Government-staff-and-salary-data---300912.xls': 76},1
Engineering and Physical Sciences Research Council,2013-09-30,4,74,{u'/data/epsrc/2013-09-30/300913---EPSRC---Transparency-Organogram.xls': 78},1
Engineering and Physical Sciences Research Council,2015-09-30,4,77,{u'/data/ahrc/2015-09-30/300915---EPSRC---Transparency-Organogram.xls': 81},1
Engineering Construction Industry Training Board,2011-09-30,7,10,{u'/data/ecitb/2011-09-30/300911-ECITB-staff-and-salary-data-Sept-2011-HL-Version.xls': 17},1
Engineering Construction Industry Training Board,2013-03-31,8,1,{u'/data/ecitb/2013-03-31/ECITB-organogram-data-as-at-1-April-2013-compatible-with-website.xls': 9},1
English Heritage,2011-03-31,21,191,{u'/data/english-heritage/2011-03-31/English-Heritage-staff-and-salary-data-completed-template---March-2011.xls': 212},1
English Heritage,2011-09-30,21,193,{u'/data/english-heritage/2011-09-30/300911---EH---organogram---ver1.xls': 214},1
English Heritage,2012-03-31,24,250,{u'/data/english-heritage/2012-03-31/310312_EH_organogram_ver1.xls': 274},1
English Heritage,2012-09-30,24,243,{u'/data/english-heritage/2012-09-30/30-09-12---EH---organogram---ver1.xls': 267},1
English Heritage,2013-03-31,24,240,{u'/data/english-heritage/2013-03-31/31-03-13---EH---organogram---ver1.xls': 264},1
English Heritage,2013-09-30,24,239,{u'/data/english-heritage/2013-09-30/30-09-13---EH---organogram---ver1.xls': 263},1
Environment Agency,2011-03-31,163,2222,{u'/data/environment-agency/2011-04-12/20110607_EA-staff-and-salary-data_posts-&-sal_CH_v1.xls': 2373},1
Environment Agency,2011-09-30,153,2197,{u'/data/environment-agency/2011-09-30/government-staff-and-salary-data-template---October-2011.xls': 2350},1
Environment Agency,2012-03-31,143,2295,{u'/data/environment-agency/2012-03-31/31032012_Evironment_Agency-March-2012-FINAL.xls': 2438},1
Environment Agency,2012-09-30,149,2270,{u'/data/environment-agency/2012-09-30/30092012_Evironment_Agency-September-2012_FINAL.xls': 2419},1
Environment Agency,2013-09-30,138,1967,{u'/data/environment-agency/2013-09-30/Environment-Agency-September-2013-Final.xls': 2105},1
Environment Agency,2015-03-31,117,1736,{u'/data/environment-agency/2015-03-31/310315-EA-Organogram-ver1.xls': 1853},1
Environment Agency,2016-03-31,124,1396,{u'/data/environment-agency/2016-03-31/310316-EA-Organogram.xls': 1520},1
Equality and Human Rights Commission,2011-03-31,5,223,{u'/data/equalityhumanrights/2011-03-31/EHRC-Copy-of-government-staff-and-salary-data-FINAL-20110607v5.xls': 228},1
Equality and Human Rights Commission,2011-09-30,10,744,"{u'/data/equalityhumanrights/2011-09-30/Final_20110930_21.11.xls': 377, u'/data/geo/2011-09-30/Copy-of-Final_20110930_08.11.xls': 377}",2
Equality and Human Rights Commission,2012-03-31,6,165,{u'/data/equalityhumanrights/2012-03-31/EHRC.xls': 171},1
Equality and Human Rights Commission,2012-09-30,6,156,{u'/data/equalityhumanrights/2012-09-30/EHRC30092012.xls': 162},1
Equality and Human Rights Commission,2013-03-31,5,127,{u'/data/equalityhumanrights/2013-03-31/EHRC310313.xls': 132},1
Equality and Human Rights Commission,2013-09-30,5,129,{u'/data/equalityhumanrights/2013-09-30/Government-staff-and-salary-data-blank-template---September-2013-FINAL.xls': 134},1
Equality and Human Rights Commission,2014-03-31,4,132,{u'/data/equalityhumanrights/2014-03-31/Government-staff-and-salary-data-blank-template---March-2014.xls': 136},1
FCO Services,2011-03-31,9,146,{u'/data/fco/2011-03-31/FCO-Services-government-staff-and-salary-data---March-2011--V2.xls': 154},1
Fire Service College,2012-03-31,1,24,{u'/data/fireservicecollege/2012-03-31/31032012-FSC-Organogram---V1-17-May-2012.xls': 25},1
Foreign and Commonwealth Office,2011-03-31,119,219,{u'/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls': 334},1
Foreign and Commonwealth Office,2011-03-31,119,219,{u'/data/fco/2011-03-31/fco-government-staff-and-salary-data-template---March-2011-v5.xls': 334},1
Foreign and Commonwealth Office,2011-09-30,131,227,{u'/data/fco/2011-09-30/300911-fco-organogram-ver1.xls': 358},1
Foreign and Commonwealth Office,2013-03-31,139,210,{u'/data/fco/2013-03-31/SMS-Salary-Organogram-at-310313-final.xls': 349},1
Foreign and Commonwealth Office,2013-09-30,133,200,{u'/data/fco/2013-09-30/FCO-Government-staff-and-salary-data-blank-template---September-cleaned.xls': 333},1
Foreign and Commonwealth Office,2014-03-31,136,200,{u'/data/fco/2014-03-31/Government-staff-and-salary-data-working-template---March-2014-final.xls': 336},1
Foreign and Commonwealth Office,2014-09-30,133,201,{u'/data/fco/2014-09-30/FCO-Organogram-31-Oct--2014-(1).xls': 334},1
Foreign and Commonwealth Office,2015-03-31,135,206,{u'/data/fco/2015-03-31/FCO-Organogram-31-March-2015.xls': 341},1
Foreign and Commonwealth Office,2016-03-31,132,194,{u'/data/fco/2016-03-31/FCO-SMS-Salary-Organogram-at-31-Mar-2016.xls': 326},1
Forestry Commission,2011-09-30,11,228,{u'/data/forestry/2011-09-30/300911-Forestry-Commission-Organogram-data.xls': 239},1
Forestry Commission,2012-03-31,11,221,{u'/data/forestry/2012-03-31/310312-FC-ORGANOGRAM.xls': 232},1
Forestry Commission,2012-09-30,10,221,{u'/data/forestry/2012-09-30/300912-FC-ORGANOGRAM.xls': 231},1
Forestry Commission,2013-09-30,9,236,{u'/data/forestry/2013-09-30/300913-FC-ORGANOGRAM.xls': 245},1
Gambling Commission,2011-09-30,13,46,{u'/data/gamblingcommission/2011-09-30/Government-staff-and-salary-data---October-2011.xls': 59},1
Gambling Commission,2012-03-31,14,10,{u'/data/gamblingcommission/2012-03-31/GC-040712-organogram-HL.xls': 24},1
Gangmasters Licensing Authority,2012-03-31,1,25,{u'/data/gla/2012-03-31/Gangmasters-Licensing-Authority-310312.xls': 26},1
Gangmasters Licensing Authority,2014-03-31,1,35,{u'/data/gla/2014-03-31/Gangmasters-Licensing-Authority-31-03-14.xls': 36},1
Gangmasters Licensing Authority,2014-09-30,1,36,{u'/data/gla/2014-09-30/GLA-Staff-and-salary-data-blank-template---September-2014-FINAL.xls': 37},1
Gangmasters Licensing Authority,2015-03-31,1,38,{u'/data/gla/2015-03-31/20150331--Organogram-Data--GLA.xls': 39},1
General Social Care Council,2011-03-31,4,24,{u'/data/gscc/2011-03-31/government-staff-and-salary-data---March-2011---GSCC.xls': 28},1
Government Actuary's Department,2014-09-30,4,155,{u'/data/gad/2014-09-30/Government-staff-and-salary-data-2014_V5_FINAL_Downloaded.xls': 159},1
Government Car and Despatch Agency,2011-03-31,0,0,{},0
Government Equalities Office,2011-03-31,8,51,{u'/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls': 59},1
Government Equalities Office,2011-03-31,8,51,{u'/data/homeoffice/2011-03-31/GovernmentEqualitiesOffice_organogramdata_310311.xls': 59},1
Government Procurement Service,2011-09-30,4,203,{u'/data/buyingsolutions/2011-09-30/Government-Staff-and-Salary-data-template---October-2011---est.xls': 207},1
Government Procurement Service,2012-03-31,4,54,{u'/data/gps/2012-03-31/310312-Cabinet-Office-GPS-Staff-and-salary-data--March-2012-FINAL.xls': 58},1
Government Procurement Service,2012-09-30,5,50,{u'/data/gps/2012-09-30/300912-Government-Staff-and-Salary-Data-GPS-FINAL.xls': 55},1
Government Procurement Service,2013-03-31,7,53,{u'/data/gps/2013-03-31/310313-GPS-Organogram-Ver-1.xls': 60},1
Government Procurement Service,2013-09-30,9,61,{u'/data/gps/2013-09-30/300913-GPS-Organogram-Ver-1.xls': 70},1
NHS Greater Manchester CSU,2014-03-31,21,102,{u'/data/nhs/2014-03-31/GMCSU-Organogram-30Sep14.xls': 123},1
Health and Safety Executive,2011-03-31,47,817,{u'/data/hse/2011-03-31/HSE-government-staff-and-salary-data---March-2011.xls': 864},1
Health and Safety Executive,2011-09-30,48,855,{u'/data/hse/2011-09-30/HSE-Copy-of-government-staff-and-salary-data-blank-template---Sep-2011.xls': 903},1
Health and Safety Executive,2012-09-30,42,731,{u'/data/hse/2012-09-30/government-staff-and-salary-data-blank-template---Sep2012-(29022012).xls': 773},1
Health and Safety Executive,2013-09-30,40,561,{u'/data/hse/2013-09-30/300913-HSE-Organogram-ver1.xls': 601},1
Health and Safety Executive,2014-03-31,43,557,{u'/data/hsc/2014-03-31/310314-HSE-Organogram-ver1.xls': 600},1
Health and Safety Executive,2014-09-30,31,484,{u'/data/hse/2014-09-30/300914-HSE-Organogram-ver1.xls': 515},1
Health and Social Care Information Centre,2012-03-31,34,126,{u'/data/ic/2012-03-31/310312HSCIC_Organogram.xls': 160},1
Health and Social Care Information Centre,2014-09-30,37,491,{u'/data/hscic/2014-09-30/300914-HSCIC-Organogram---upload.xls': 528},1
Health Education England,2013-03-31,356,704,{u'/data/nhs/2013-03-31/060413-Health-Education-England-FINAL-version-3-140613.xls': 1060},1
Health Education England,2013-09-30,238,442,{u'/data/nhs/2013-09-30/Copy-of-HEE-organogram---September-2013-cleaned.xls': 680},1
Health Education England,2016-03-31,979,182,{u'/data/nhs/2016-03-31/310316-HEE-Organogram.xls': 1161},1
Health Protection Agency,2011-03-31,51,207,{u'/data/hpa/2011-03-31/final-25-May-2011-V1.xls': 255},1
Health Protection Agency,2011-09-30,50,507,{u'/data/hpa/2011-09-30/final-25-Nov-2011-V1.xls': 557},1
Health Protection Agency,2012-03-31,48,498,{u'/data/hpa/2012-03-31/310312HPA.xls': 546},1
Her Majesty's Revenue and Customs,2011-03-31,345,5792,{u'/data/hmrc/2011-03-31/HMRC-organogram-data-03-06-2011.xls': 6137},1
Her Majesty's Revenue and Customs,2012-03-31,374,5237,{u'/data/hmrc/2012-03-31/310312-HMRC-Organogram-Final.xls': 5611},1
Her Majesty's Revenue and Customs,2012-09-30,349,4237,{u'/data/hmrc/2012-09-30/300912-HMRC-Organogram.xls': 4586},1
Her Majesty's Revenue and Customs,2013-03-31,338,4668,{u'/data/hmrc/2013-03-31/310313-HMRC-Organogram-Final.xls': 5006},1
Her Majesty's Revenue and Customs,2013-09-30,331,5107,{u'/data/hmrc/2013-09-30/300913-HMRC-Organogram-Final.xls': 5439},1
Her Majesty's Revenue and Customs,2014-03-31,324,5474,{u'/data/hmrc/2014-03-31/201403-HMRC-Organogram-Final.xls': 5798},1
Her Majesty's Revenue and Customs,2014-09-30,335,5312,{u'/data/hmrc/2014-09-30/201409-HMRC-Organogram-Final.xls': 5647},1
Her Majesty's Revenue and Customs,2015-03-31,354,4406,{u'/data/hmrc/2015-03-31/201503-HMRC-Organogram-Final.xls': 4760},1
Her Majesty's Revenue and Customs,2015-09-30,359,4722,{u'/data/hmrc/2015-09-30/201509-HMRC-Organogram-Final.xls': 5081},1
Her Majesty's Revenue and Customs,2016-03-31,364,5122,{u'/data/hmrc/2016-03-31/201603-HMRC-Organogram-Final.xls': 5486},1
High Speed 2 Limited,2011-09-30,4,6,{u'/data/hs2/2011-09-30/300911HS2Government-staff-and-salary-data---September-2011.xls': 10},1
High Speed 2 Limited,2012-03-31,7,50,{u'/data/hs2/2012-03-31/310311_HS2_government-staff-and-salary-data.xls': 57},1
High Speed 2 Limited,2013-09-30,8,119,{u'/data/hs2/2013-09-30/Government-staff-and-salary-data-blank-template---Sept-2013-Draft-3---Final.xls': 127},1
Higher Education Funding Council for England,2011-03-31,4,82,{u'/data/hefce/2011-03-31/HEFCE_organogram.xls': 86},1
Higher Education Funding Council for England,2013-03-31,4,89,{u'/data/hefce/2013-03-31/310313-HEFCE-oranogram-final-data.xls': 93},1
Higher Education Funding Council for England,2013-09-30,4,94,{u'/data/hefce/2013-09-30/300913-HEFCE.xls': 98},1
Highways Agency,2011-03-31,30,237,{u'/data/dft/2011-03-31/Final-HA-Transparency-Return-26-May-2011.xls': 267},1
Highways Agency,2011-09-30,27,220,{u'/data/dft/2011-09-30/HA-Transparency-Final-Return.xls': 247},1
Highways Agency,2012-03-31,27,210,{u'/data/dft/2012-03-31/Highways-Transparency-Final-Return-31.03.12.xls': 237},1
Highways Agency,2012-09-30,30,206,{u'/data/dft/2012-09-30/Highways-Final-Return-30.09.12.xls': 236},1
Highways Agency,2013-03-31,30,226,{u'/data/dft/2013-03-31/HA-Transparency-Final-Return-31.03.13.xls': 256},1
HM Crown Prosecution Service Inspectorate,2011-03-31,2,15,{u'/data/TSOL/2011-03-31/government-staff-and-salary-data---March-2011---HM-CPSI.xls': 17},1
HM Crown Prosecution Service Inspectorate,2011-09-30,2,17,{u'/data/tsol/2011-09-30/HM-CPSI-government-staff-and-salary-data---September-2011.xls': 19},1
HM Crown Prosecution Service Inspectorate,2012-03-31,3,18,{u'/data/tsol/2012-03-31/HMCPSI_staff_data_march_2012.xls': 21},1
HM Crown Prosecution Service Inspectorate,2012-09-30,2,18,{u'/data/tsol/2012-09-30/HMCPSI-government-staff-and-salary-data---September-2012.xls': 20},1
HM Crown Prosecution Service Inspectorate,2013-09-30,2,18,{u'/data/tsol/2013-09-30/HMCPSI-government-staff-and-salary-data---Nov-valid-draft.xls': 20},1
HM Crown Prosecution Service Inspectorate,2014-03-31,2,19,{u'/data/tsol/2014-03-31/HMCPSI-government-staff-and-salary-data---May-v1.xls': 21},1
HM Inspectorate of Constabulary,2011-03-31,10,82,{u'/data/homeoffice/2011-03-31/HMInspectorateofConstabulary_organogramdata_310311.xls': 92},1
HM Inspectorate of Constabulary,2011-09-30,16,77,{u'/data/homeoffice/2011-09-30/300911---HM-Inspectorate-of-Constabulary---Organogram-Data---FINAL.xls': 93},1
HM Inspectorate of Constabulary,2012-03-31,17,80,{u'/data/homeoffice/2012-03-31/310312-HM-Inspectorate-of-Constabulary---Organogram-Data.xls': 97},1
HM Inspectorate of Constabulary,2012-09-30,16,76,{u'/data/homeoffice/2012-09-30/300912-HM-Inspectorate-of-Constabulary---Organogram-Data.xls': 92},1
HM Inspectorate of Constabulary,2013-09-30,15,87,{u'/data/homeoffice/2013-09-30/130930-HMIC-Organogram-Data.xls': 102},1
HM Inspectorate of Constabulary,2014-03-31,15,98,{u'/data/homeoffice/2014-03-31/140331---Organogram-Data---HM-Inspectorate-of-Constabulary.xls': 113},1
HM Inspectorate of Constabulary,2014-09-30,18,119,{u'/data/homeoffice/2014-09-30/140930---Organogram-Data---HM-Inspectorate-of-Constabulary.xls': 137},1
HM Inspectorate of Prisons,2011-09-30,1,15,{u'/data/justice/2011-09-30/HMI-Prison-Organogram-transparency-300911.xls': 16},1
HM Inspectorate of Prisons,2012-03-31,2,15,{u'/data/justice/2012-03-31/HM-Inspectorate-of-Prisons.xls': 17},1
HM Inspectorate of Prisons,2012-09-30,2,16,{u'/data/justice/2012-09-30/HM-Inspectorate-of-Prisons-2012.xls': 18},1
HM Inspectorate of Prisons,2013-09-30,2,16,{u'/data/justice/2013-09-30/HM-Inspectorate-of-Prisons-September2013-FINAL.xls': 18},1
HM Inspectorate of Prisons,2014-03-31,2,16,{u'/data/justice/2014-03-31/HMI-Prisons---Draft-for-review-(March-2014).xls': 18},1
HM Inspectorate of Probation,2011-09-30,1,7,{u'/data/justice/2011-09-30/HMI-Probation-Organogram-transparency-300911.xls': 8},1
HM Inspectorate of Probation,2012-03-31,1,7,{u'/data/justice/2012-03-31/HM-Inspectorate-of-Probation.xls': 8},1
HM Inspectorate of Probation,2012-09-30,1,7,{u'/data/justice/2012-09-30/HM-Inspectorate-of-Probation-2012.xls': 8},1
HM Inspectorate of Probation,2013-03-31,1,8,{u'/data/justice/2013-03-31/HM-Inspectorate-of-Probation-310313.xls': 9},1
HM Inspectorate of Probation,2013-09-30,1,8,{u'/data/justice/2013-09-30/HM-Inspectorate-of-Probation-310313-(2).xls': 9},1
HM Inspectorate of Probation,2014-03-31,1,8,{u'/data/justice/2014-03-31/HMI-Probation-Final---March-2014.xls': 9},1
HM Passport Office,2013-09-30,16,66,{u'/data/homeoffice/2013-09-30/130930-Her-Majesty-Passport-Office-Organogram-Data.xls': 82},1
HM Passport Office,2014-03-31,16,61,{u'/data/homeoffice/2014-03-31/130331---Organogram-Data---HMPassportOffice.xls': 77},1
HM Passport Office,2014-09-30,16,34,{u'/data/homeoffice/2014-09-30/140930---Organogram-Data---HM-Passport-Office.xls': 50},1
HM Treasury,2011-03-31,0,0,{},0
HM Treasury,2011-03-31,0,0,{},0
HM Treasury,2011-09-30,115,407,{u'/data/hmtreasury/2011-09-30/HMT-Treasury--staff-and-salary-data-template---September-2011-for-input_final-v14.xls': 522},1
HM Treasury,2012-03-31,101,369,{u'/data/hmtreasury/2012-03-31/HMT-government-staff-and-salary-data-template---March-2012-V12.xls': 470},1
HM Treasury,2012-09-30,93,349,{u'/data/hmtreasury/2012-09-30/HMT-government-staff-and-salary-data-template---Sept-Oct-2012-V7-upload.xls': 442},1
HM Treasury,2013-03-31,95,324,{u'/data/hmtreasury/2013-03-31/HMT-government-staff-and-salary-data-template---Mar-Apr-2013-V9.xls': 419},1
HM Treasury,2013-09-30,90,315,{u'/data/hmtreasury/2013-09-30/HM-Treasury-Government-staff-and-salary-data---September-2013-V5.xls': 405},1
HM Treasury,2014-03-31,93,308,{u'/data/hmtreasury/2014-03-31/HM-Treasury-Government-staff-and-salary-data---March-2014-V8.xls': 401},1
HM Treasury,2014-09-30,89,291,{u'/data/hmtreasury/2014-09-30/HM-Treasury-Government-staff-and-salary-data---September-2014-V7.xls': 380},1
HM Treasury,2015-03-31,91,272,{u'/data/hmtreasury/2015-03-31/HM-Treasury-Government-staff-and-salary-data---March-2015-V5.xls': 363},1
Home Office,2011-03-31,125,706,{u'/data/homeoffice/2011-03-31/HomeOffice_organogramdata_310311.xls': 831},1
Home Office,2011-03-31,125,706,{u'/data/homeoffice/2011-03-31/HomeOffice_organogramdata_310311.xls': 831},1
Home Office,2011-09-30,151,734,{u'/data/homeoffice/2011-09-30/300911-HomeOffice-organogramdata-final.xls': 885},1
Home Office,2012-03-31,162,811,{u'/data/homeoffice/2012-03-31/310312-Home-Office---Organogram-Data.xls': 973},1
Home Office,2012-09-30,201,933,"{u'/data/homeoffice/2012-09-30/300912-Home-Office-Organogram-Data.xls': 1042, u'/data/homeoffice/2012-09-30/300912-GEO.xls': 92}",2
Home Office,2013-03-31,143,1084,{u'/data/homeoffice/2013-03-31/310313-Organogram-Data---Home-Office.xls': 1227},1
Home Office,2013-09-30,203,1385,{u'/data/homeoffice/2013-09-30/130930-Home-Office-Organogram-Data.xls': 1588},1
Home Office,2014-03-31,197,1386,{u'/data/homeoffice/2014-03-31/130331---Organogram-Data---Home-Office.xls': 1584},1
Home Office,2014-09-30,210,1761,{u'/data/homeoffice/2014-09-30/140930---Organogram-Data---Home-Office.xls': 1971},1
Homes and Communities Agency,2011-03-31,10,152,{u'/data/hca/2011-03-31/hca-staff-and-salary-data-template---March-2011.xls': 162},1
Homes and Communities Agency,2012-09-30,9,131,{u'/data/communities/2012-09-30/HCA-Data---Alex-Version.xls': 140},1
Horniman Public Museum & Public Park Trust,2011-03-31,1,26,{u'/data/horniman/2011-03-31/Hornimanstaff-and-salary-data.xls': 27},1
Horniman Public Museum & Public Park Trust,2011-09-30,1,29,{u'/data/horniman/2011-09-30/Horniman-government-staff-and-salary-data-at-30-Sept-11.xls': 30},1
Horniman Public Museum & Public Park Trust,2012-03-31,1,26,{u'/data/horniman/2012-03-31/310312---Horniman-Government-staff-and-salary-data.xls': 27},1
Horniman Public Museum & Public Park Trust,2012-09-30,1,30,{u'/data/horniman/2012-09-30/Copy-of-government-staff-and-salary-data-completed-template---September-2012-22-11-12.xls': 31},1
Horniman Public Museum & Public Park Trust,2013-03-31,1,31,{u'/data/horniman/2013-03-31/Government-staff-and-salary-data-completed-template---March-2013.xls': 32},1
